Bairro,Latitude,Longitude
Penha,-23.5282, -46.5379
Perus,-23.3962, -46.7532
Pirituba,-23.4611, -46.7242
Freguesia do O,-23.5007, -46.7055
Santana/Tucuruvi,-23.4887, -46.6206
Tremembe,-23.4543, -46.6251
Sao Miguel Paulista,-23.5012, -46.4488
Itaim Paulista,-23.4921, -46.3837
Sao Mateus,-23.6028, -46.4826
Se,-23.5505, -46.6333
Guaianazes,-23.541273, -46.405739
Ferraz Vasconcelos,-23.533460,-46.368669
Butanta,-23.5701, -46.7176
Ipiranga,-23.5897, -46.6067
Santo Amaro,-23.6478, -46.708
M Boi Mirim,-23.6574, -46.7652
Lapa,-23.5164, -46.6964
Campo Limpo,-23.6327, -46.7591
Capela do Socorro,-23.6667, -46.7058
Vila Formosa,-23.5704, -46.5522
Mooca,-23.5478, -46.6042
Itaquera,-23.5388, -46.4513
Vila Prudente,-23.5921, -46.5812
Vila Maria / Guilherme,-23.5165, -46.5733
Vila Mariana,-23.5859, -46.6343
Santana do Parnaiba,-23.4445, -46.917
Jabaquara,-23.6486, -46.6483
Pinheiros,-23.5663, -46.6866
