REGIAO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
CV - Casa Verde;0,0;0,0;10,4;9,0;0,0;0,0;0,0;25,9;19,6;26,5;0,8;62,8;6,8;0,0;0,0;0,0;2,0;1,6;1,3;17,2;19,1;0,3;25,5;0,2;0,5;0,6;8,3;13,4;0,2;0,0;9,1;261,1
FO - Freguesia do �;0,0;0,0;11,6;7,5;0,0;0,0;0,0;21,1;10,7;23,7;1,0;63,5;6,5;0,0;0,0;0,0;0,9;1,1;0,8;16,5;23,9;0,3;26,4;0,6;0,3;0,6;9,8;14,5;0,0;0,0;12,8;254,1
JT - Ja�an� / Trememb�;0,0;2,2;21,5;6,8;0,1;0,0;0,0;8,8;10,0;31,3;1,1;69,2;4,2;0,5;0,0;0,0;2,4;5,6;25,0;17,3;18,3;0,4;31,2;0,2;0,4;0,1;5,4;13,5;2,8;0,0;8,5;286,8
MG - Vl. Maria / Guilherme;0,0;0,0;10,5;7,4;0,0;0,0;0,0;12,0;28,8;32,0;1,1;59,6;5,3;0,0;0,0;0,0;16,4;13,5;26,9;20,6;16,9;0,3;30,4;0,0;0,6;0,1;2,9;9,4;1,0;0,0;12,9;308,6
PJ - Pirituba / Jaragu�;0,0;0,0;11,7;3,7;0,0;0,0;0,0;12,5;1,9;25,5;2,0;52,1;8,1;0,0;0,0;0,0;0,7;0,6;1,7;13,3;26,2;1,1;22,2;1,0;0,3;0,5;5,5;12,4;0,1;0,0;16,1;219,2
PR - Perus;0,0;0,0;12,8;2,1;0,0;0,0;0,0;10,0;0,6;12,3;2,3;46,8;11,2;0,0;0,0;0,0;1,6;2,1;2,3;18,4;29,9;2,3;20,0;1,1;0,5;1,0;1,6;9,1;0,7;0,0;24,3;213,0
ST - Santana;0,0;0,0;16,1;8,9;0,0;0,0;0,0;19,3;22,5;36,8;1,0;62,6;5,9;0,0;0,0;0,0;5,5;1,8;6,7;19,2;16,8;0,3;29,0;0,1;0,6;0,3;5,1;11,7;1,3;0,0;10,6;282,1
AF - Aricanduva / Vl. Formosa;0,0;0,0;3,2;8,5;0,0;0,0;0,0;3,5;8,2;8,4;0,7;41,0;6,5;0,0;0,0;0,0;27,7;12,2;52,9;11,8;9,5;0,3;20,1;0,2;0,1;0,2;9,1;7,7;0,0;0,0;23,3;255,1
EM - Ermelino Matarazzo;0,0;1,0;10,2;5,1;0,1;0,0;1,6;20,4;3,0;24,1;1,1;41,6;5,3;0,2;0,0;0,0;13,1;25,1;67,7;17,0;10,2;0,0;29,2;0,4;0,0;0,0;11,9;10,6;5,9;0,0;12,8;317,6
GU - Guaianazes;0,0;0,5;14,6;2,7;0,0;0,0;0,1;27,8;6,4;31,4;1,0;23,6;6,7;0,0;0,0;0,0;7,0;3,3;35,4;15,2;8,3;0,2;20,1;0,0;0,2;0,0;4,6;6,9;2,9;0,0;14,6;233,5
IQ - Itaquera;0,0;0,0;7,6;6,1;0,1;0,0;0,2;18,3;2,8;19,1;0,7;28,8;5,3;0,0;0,0;0,0;23,4;6,5;36,2;16,9;8,4;0,1;22,4;0,1;0,3;0,2;8,2;9,4;6,1;0,0;24,0;251,2
IT - Itaim Paulista;0,0;3,3;10,2;2,7;0,1;0,0;0,6;22,1;2,3;49,6;0,7;22,0;6,9;0,1;0,0;0,0;3,9;13,8;38,6;13,4;7,3;0,1;26,8;0,1;0,2;0,0;10,7;10,1;0,6;0,0;6,9;253,1
